"days","AL_Fougamou GA","ASAQ_Fougamou GA","AL_Ndola ZM","ASAQ_Ndola ZM","AL_Pweto CD","ASAQ_Pweto CD","AL_Pamol NG","ASAQ_Pamol NG","AL_Bobo Dioulasso BF","ASAQ_Bobo Dioulasso BF","AL_Gourcy BF","ASAQ_Gourcy BF","AL_Kisumu KE","ASAQ_Kisumu KE","AL_Nimba LR","ASAQ_Nimba LR","AL_Sikasso ML","ASAQ_Sikasso ML","AL_Tororo UG [Yeka]","ASAQ_Tororo UG [Yeka]","AL_Nanoro BF","ASAQ_Nanoro BF","AL_Tororo UG [Bukirwa]","ASAQ_Tororo UG [Bukirwa]"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12820512820513e-05
5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153846153846154
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153846153846154
5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205128205128205
5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205128205128205
5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307692307692308
5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307692307692308
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041025641025641
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512820512820513
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512820512820513
6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512820512820513
6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564102564102564
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564102564102564
6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564102564102564
6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666666666666667
6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666666666666667
6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082051282051282
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000871794871794872
7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000923076923076923
7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107692307692308
7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112820512820513
7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09219858156028e-05,0,0,0,0,0,0,0,0.00128205128205128
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09219858156028e-05,0,0,0,0,0,0,0,0.00138461538461538
7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141843971631206,0,0,0,0,0,0,0,0.00158974358974359
7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141843971631206,0,0,0,0,0,0,0,0.00174358974358974
7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141843971631206,0,0,0,0,0,0,0,0.0018974358974359
7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283687943262411,0,0,0,0,0,0,0,0.002
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283687943262411,0,0,0,0,0,0,0,0.00230769230769231
8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000354609929078014,0,0,0,0,0,0,0,0.00261538461538462
8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.000354609929078014,0,0,0,0.000105263157894737,0,0,0,0.00271794871794872
8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.000354609929078014,0,0,0,0.000210526315789474,0,0,0,0.00282051282051282
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.000354609929078014,0,0,0,0.000315789473684211,0,0,0,0.00312820512820513
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.000354609929078014,0,0,0,0.000315789473684211,0,0,0,0.00328205128205128
8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.00049645390070922,0,0,0,0.000421052631578947,0,0,0,0.00358974358974359
8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.00049645390070922,0,0,0,0.000421052631578947,0,0,0,0.00405128205128205
8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112359550561798,0,0.000567375886524823,0,0,0,0.000526315789473684,0,3.66300366300366e-05,0,0.00420512820512821
8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168539325842697,0,0.000709219858156028,0,0,0,0.000526315789473684,0,7.32600732600733e-05,0,0.00456410256410256
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168539325842697,0,0.00106382978723404,0,0,0,0.000578947368421053,0,0.00010989010989011,0,0.00482051282051282
9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168539325842697,0,0.00106382978723404,0,0,0,0.000578947368421053,0,0.000146520146520147,0,0.00502564102564103
9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168539325842697,0,0.00113475177304965,0,0,0,0.000631578947368421,0,0.000183150183150183,0,0.00564102564102564
9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168539325842697,0,0.00127659574468085,0,0,0,0.000736842105263158,0,0.000293040293040293,0,0.006
9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224719101123596,0,0.00134751773049645,0,0,0,0.000736842105263158,0,0.00032967032967033,0,0.00676923076923077
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224719101123596,0,0.00141843971631206,0,0,0,0.000894736842105263,0,0.000402930402930403,0,0.0078974358974359
9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224719101123596,0,0.00141843971631206,0,0,0,0.000894736842105263,0,0.000549450549450549,0,0.00882051282051282
9.7,0,0.000147058823529412,0,0,0,0,0,0,0,0,8.92857142857143e-05,0,0,0.000224719101123596,0,0.00170212765957447,0,0,0,0.000894736842105263,0,0.000622710622710623,0,0.00948717948717949
9.8,0,0.000147058823529412,0,0,0,0,0,0,0,0,0.000178571428571429,0,0,0.000280898876404494,0,0.00184397163120567,0,0,0,0.00110526315789474,0,0.000695970695970696,0,0.0103076923076923
9.9,0,0.000147058823529412,0,0,0,0,0,0,0,0,0.000267857142857143,0,0,0.000337078651685393,0,0.00226950354609929,0,0,0,0.00115789473684211,0,0.000769230769230769,0,0.0114871794871795
10,0,0.000147058823529412,0,0,0,0,0,0,0,0,0.000357142857142857,0,0,0.000393258426966292,0,0.0024113475177305,0,0,0,0.00126315789473684,0,0.000842490842490842,0,0.0126153846153846
10.1,0,0.000147058823529412,0,0,0,0,0,0,0,0,0.000446428571428571,0,0,0.000393258426966292,0,0.00269503546099291,0,0,0,0.00126315789473684,3.89105058365759e-05,0.000915750915750916,0,0.0138461538461538
10.2,0,0.000147058823529412,0,0,0,0,0,0,0,0,0.000446428571428571,0,0,0.00050561797752809,0,0.00304964539007092,0,0,0,0.00157894736842105,3.89105058365759e-05,0.000952380952380952,0,0.0154358974358974
10.3,0,0.000147058823529412,0,0,0,0,0,6.28930817610063e-05,0,0,0.000714285714285714,0,0,0.000561797752808989,0,0.00319148936170213,0,0,0,0.00168421052631579,0.000116731517509728,0.00102564102564103,0,0.0164102564102564
10.4,0,0.000147058823529412,0,0,0,0,0,6.28930817610063e-05,0,0,0.000803571428571429,0,0,0.000674157303370786,0,0.00326241134751773,0,4.29184549356223e-05,0,0.00168421052631579,0.000155642023346304,0.00102564102564103,0,0.0177435897435897
10.5,0,0.000147058823529412,0,0,0,0,0,6.28930817610063e-05,0,0,0.000803571428571429,0,0,0.000730337078651685,0,0.00340425531914894,4.23728813559322e-05,8.58369098712446e-05,0,0.00184210526315789,0.000272373540856031,0.00106227106227106,0,0.0190769230769231
10.6,0,0.000147058823529412,0,0,0,0,0,6.28930817610063e-05,0,0,0.000982142857142857,0,0,0.000730337078651685,0,0.00397163120567376,4.23728813559322e-05,0.000171673819742489,0,0.00189473684210526,0.000350194552529183,0.00117216117216117,0,0.0203589743589744
10.7,0,0.000294117647058824,0,0,0,0,0,6.28930817610063e-05,0,0,0.00116071428571429,0,0,0.000730337078651685,0,0.00418439716312057,4.23728813559322e-05,0.000257510729613734,0,0.00210526315789474,0.000505836575875486,0.00128205128205128,0,0.0216410256410256
10.8,0,0.000294117647058824,0,0,0,7.75193798449612e-05,0,6.28930817610063e-05,0,0,0.00133928571428571,0,0,0.000730337078651685,0,0.00460992907801418,8.47457627118644e-05,0.000257510729613734,0,0.00236842105263158,0.00066147859922179,0.00135531135531136,0,0.0228205128205128
10.9,0,0.000294117647058824,0,0,0,7.75193798449612e-05,0,6.28930817610063e-05,0,0,0.00151785714285714,0,0,0.000786516853932584,0,0.0051063829787234,8.47457627118644e-05,0.000300429184549356,0,0.00263157894736842,0.000856031128404669,0.00142857142857143,0,0.0246666666666667
11,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,6.28930817610063e-05,0,0,0.00196428571428571,0,0,0.000786516853932584,0,0.00546099290780142,8.47457627118644e-05,0.000300429184549356,0,0.00289473684210526,0.00101167315175097,0.00153846153846154,0,0.0256923076923077
11.1,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,6.28930817610063e-05,0,0,0.00196428571428571,0,0,0.000955056179775281,0,0.00574468085106383,8.47457627118644e-05,0.000386266094420601,0,0.00310526315789474,0.0011284046692607,0.00168498168498168,0,0.0268717948717949
11.2,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,6.28930817610063e-05,0,0,0.00214285714285714,0,0,0.00101123595505618,0,0.00631205673758865,0.000169491525423729,0.000386266094420601,0,0.00336842105263158,0.00120622568093385,0.00179487179487179,0,0.0286666666666667
11.3,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0,0.00232142857142857,0,0,0.00106741573033708,0,0.00687943262411347,0.000169491525423729,0.000386266094420601,0,0.00352631578947368,0.00140077821011673,0.0019047619047619,0,0.0303589743589744
11.4,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0,0.00241071428571429,0,0,0.00123595505617978,0,0.00723404255319149,0.000211864406779661,0.000386266094420601,0,0.00368421052631579,0.00175097276264591,0.00194139194139194,0,0.0316923076923077
11.5,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.00013550135501355,0.003125,0,0,0.00157303370786517,0,0.00737588652482269,0.000296610169491525,0.000386266094420601,0.000105263157894737,0.00384210526315789,0.00221789883268483,0.00205128205128205,0,0.032974358974359
11.6,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.00018970189701897,0.00330357142857143,0,0,0.00174157303370787,0,0.00780141843971631,0.00038135593220339,0.000472103004291846,0.000105263157894737,0.00410526315789474,0.00252918287937743,0.00208791208791209,0,0.0347179487179487
11.7,0,0.000294117647058824,0,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.00021680216802168,0.00392857142857143,0,0,0.00185393258426966,0,0.00843971631205674,0.000423728813559322,0.000472103004291846,0.000105263157894737,0.00436842105263158,0.00307392996108949,0.00212454212454212,0,0.0361538461538462
11.8,0,0.000294117647058824,0.000144927536231884,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.00024390243902439,0.00446428571428571,0,0,0.00202247191011236,0,0.00886524822695036,0.000720338983050847,0.000472103004291846,0.000157894736842105,0.00463157894736842,0.0033852140077821,0.00223443223443223,0,0.0380512820512821
11.9,0,0.000294117647058824,0.000144927536231884,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.0002710027100271,0.00491071428571429,0,0,0.00219101123595506,0,0.00914893617021277,0.000847457627118644,0.000472103004291846,0.000157894736842105,0.00505263157894737,0.00400778210116732,0.00230769230769231,0,0.0397948717948718
12,0,0.000294117647058824,0.000144927536231884,0.00015625,0,7.75193798449612e-05,0,0.000125786163522013,0,0.00032520325203252,0.00544642857142857,0.00015625,0,0.00224719101123596,0,0.00957446808510638,0.00114406779661017,0.000472103004291846,0.000157894736842105,0.00521052631578947,0.0045136186770428,0.00245421245421245,0,0.0422051282051282
12.1,0,0.000294117647058824,0.000144927536231884,0.00015625,0.000158730158730159,7.75193798449612e-05,0,0.000125786163522013,0,0.00035230352303523,0.005625,0.00015625,0,0.00241573033707865,0,0.0102836879432624,0.00139830508474576,0.000472103004291846,0.000157894736842105,0.00547368421052632,0.00501945525291829,0.00271062271062271,0,0.044
12.2,0,0.000294117647058824,0.000144927536231884,0.00015625,0.000158730158730159,7.75193798449612e-05,0,0.000125786163522013,0,0.00040650406504065,0.00678571428571429,0.000234375,0,0.00269662921348315,0,0.0105673758865248,0.00156779661016949,0.000472103004291846,0.000210526315789474,0.00615789473684211,0.00568093385214008,0.00311355311355311,0,0.0458974358974359
12.3,0,0.000441176470588235,0.000144927536231884,0.0003125,0.000158730158730159,7.75193798449612e-05,0,0.000125786163522013,0,0.00046070460704607,0.00741071428571429,0.0003125,0,0.00297752808988764,0,0.011063829787234,0.00207627118644068,0.000472103004291846,0.000263157894736842,0.007,0.00630350194552529,0.00336996336996337,0,0.0483589743589744
12.4,0,0.000735294117647059,0.000144927536231884,0.0003125,0.000158730158730159,7.75193798449612e-05,0,0.000125786163522013,0,0.000514905149051491,0.00839285714285714,0.00046875,0,0.00325842696629213,0,0.0114893617021277,0.00254237288135593,0.000472103004291846,0.000315789473684211,0.00763157894736842,0.00704280155642023,0.00347985347985348,0,0.0501538461538462
12.5,0,0.000735294117647059,0.000144927536231884,0.0003125,0.000158730158730159,0.000155038759689922,0,0.000125786163522013,0,0.000650406504065041,0.00991071428571428,0.00046875,0,0.00342696629213483,0,0.0116312056737589,0.00326271186440678,0.000515021459227468,0.000421052631578947,0.00815789473684211,0.00778210116731518,0.00399267399267399,0,0.0525128205128205
12.6,0,0.000735294117647059,0.000144927536231884,0.0003125,0.000238095238095238,0.000155038759689922,0,0.000125786163522013,0,0.000677506775067751,0.0108035714285714,0.00046875,0,0.00376404494382022,0,0.0120567375886525,0.0038135593220339,0.000515021459227468,0.000526315789473684,0.00889473684210526,0.00867704280155642,0.00424908424908425,0,0.0548717948717949
12.7,0,0.000882352941176471,0.000289855072463768,0.0003125,0.000317460317460317,0.000155038759689922,0,0.000125786163522013,0,0.000677506775067751,0.0115178571428571,0.000546875,0,0.00410112359550562,0,0.0124822695035461,0.00444915254237288,0.00055793991416309,0.000578947368421053,0.00963157894736842,0.0098443579766537,0.00461538461538462,0,0.0578974358974359
12.8,0,0.000882352941176471,0.000289855072463768,0.00046875,0.000317460317460317,0.000155038759689922,0,0.000251572327044025,0,0.000758807588075881,0.0123214285714286,0.000703125,0,0.00449438202247191,0,0.0133333333333333,0.00525423728813559,0.00055793991416309,0.000578947368421053,0.0104210526315789,0.0114396887159533,0.00509157509157509,0.000264550264550265,0.0604102564102564
12.9,0,0.000882352941176471,0.000434782608695652,0.00046875,0.000317460317460317,0.000232558139534884,0,0.000251572327044025,0,0.000758807588075881,0.0129464285714286,0.000859375,0,0.0049438202247191,0,0.0139007092198582,0.00635593220338983,0.000600858369098712,0.000684210526315789,0.0109473684210526,0.0133463035019455,0.00567765567765568,0.000476190476190476,0.0628205128205128
13,0,0.000882352941176471,0.000434782608695652,0.00046875,0.000396825396825397,0.000310077519379845,0,0.000251572327044025,0,0.000785907859078591,0.0139285714285714,0.0009375,0,0.00539325842696629,0,0.0146099290780142,0.00720338983050847,0.000600858369098712,0.000842105263157895,0.0118421052631579,0.0153696498054475,0.00597069597069597,0.000740740740740741,0.0648205128205128
13.1,0,0.000882352941176471,0.000434782608695652,0.00046875,0.000396825396825397,0.000310077519379845,0,0.000251572327044025,0,0.000840108401084011,0.0150892857142857,0.001171875,0,0.00556179775280899,0,0.0153191489361702,0.00834745762711864,0.000686695278969957,0.00110526315789474,0.0126842105263158,0.0177431906614786,0.00641025641025641,0.000899470899470899,0.0674871794871795
13.2,0,0.00102941176470588,0.000579710144927536,0.000625,0.000476190476190476,0.000387596899224806,0,0.000251572327044025,8.13008130081301e-05,0.000840108401084011,0.0165178571428571,0.001171875,0,0.00567415730337079,0,0.0161702127659574,0.00927966101694915,0.000686695278969957,0.00110526315789474,0.0130526315789474,0.0194552529182879,0.00677655677655678,0.00111111111111111,0.0698974358974359
13.3,0.000147058823529412,0.00117647058823529,0.000579710144927536,0.000625,0.000476190476190476,0.000387596899224806,0,0.000314465408805031,0.00010840108401084,0.000894308943089431,0.0183928571428571,0.001328125,0,0.00595505617977528,0,0.0170921985815603,0.0102966101694915,0.000729613733905579,0.00115789473684211,0.0136842105263158,0.0221789883268483,0.0073992673992674,0.00148148148148148,0.0722564102564103
13.4,0.000147058823529412,0.00117647058823529,0.00072463768115942,0.000625,0.000555555555555556,0.000542635658914729,0,0.000377358490566038,0.00013550135501355,0.000894308943089431,0.0192857142857143,0.001484375,0,0.00629213483146067,0,0.0177304964539007,0.0115677966101695,0.000815450643776824,0.00121052631578947,0.0147368421052632,0.0245136186770428,0.00798534798534799,0.00206349206349206,0.074974358974359
13.5,0.000147058823529412,0.00117647058823529,0.00072463768115942,0.000625,0.000634920634920635,0.000542635658914729,0,0.000440251572327044,0.00021680216802168,0.000948509485094851,0.02,0.00171875,0,0.00674157303370787,0,0.0182269503546099,0.0125,0.000987124463519313,0.00142105263157895,0.0157368421052632,0.0264591439688716,0.00857142857142857,0.0026984126984127,0.0776410256410256
13.6,0.000147058823529412,0.00117647058823529,0.00072463768115942,0.000625,0.000714285714285714,0.000697674418604651,0,0.000440251572327044,0.00029810298102981,0.000975609756097561,0.0216071428571429,0.00203125,0,0.00696629213483146,0,0.0186524822695035,0.0136016949152542,0.00107296137339056,0.00163157894736842,0.0170526315789474,0.0289105058365759,0.00934065934065934,0.00317460317460317,0.079948717948718
13.7,0.000147058823529412,0.00132352941176471,0.00115942028985507,0.00078125,0.000793650793650794,0.000697674418604651,0,0.00050314465408805,0.00037940379403794,0.00105691056910569,0.0239285714285714,0.0025,0,0.00724719101123595,0,0.0193617021276596,0.0148728813559322,0.00120171673819742,0.00173684210526316,0.0182105263157895,0.0314007782101167,0.0095970695970696,0.0037037037037037,0.0822564102564103
13.8,0.000147058823529412,0.00132352941176471,0.00115942028985507,0.00078125,0.000873015873015873,0.000697674418604651,0,0.00050314465408805,0.00043360433604336,0.00116531165311653,0.025,0.002734375,0,0.00758426966292135,0,0.0199290780141844,0.016228813559322,0.00137339055793991,0.00210526315789474,0.0194736842105263,0.0339688715953307,0.0102930402930403,0.00465608465608466,0.0844615384615385
13.9,0.000147058823529412,0.00147058823529412,0.00115942028985507,0.00078125,0.00103174603174603,0.000697674418604651,0,0.000628930817610063,0.00048780487804878,0.00127371273712737,0.0266964285714286,0.002734375,0,0.00786516853932584,0,0.0211347517730496,0.0177542372881356,0.00141630901287554,0.00226315789473684,0.0204210526315789,0.0373929961089494,0.0111355311355311,0.00534391534391534,0.0875897435897436
14,0.000147058823529412,0.00147058823529412,0.00115942028985507,0.00078125,0.00119047619047619,0.000697674418604651,0,0.000691823899371069,0.000514905149051491,0.00138211382113821,0.0277678571428571,0.0028125,0,0.00831460674157303,0,0.0220567375886525,0.0189406779661017,0.00145922746781116,0.00231578947368421,0.0213157894736842,0.0409727626459144,0.0120512820512821,0.00571428571428571,0.090051282051282
14.1,0.000147058823529412,0.00147058823529412,0.00144927536231884,0.00078125,0.00134920634920635,0.000697674418604651,0,0.000691823899371069,0.000650406504065041,0.00143631436314363,0.0291964285714286,0.003125,0,0.00893258426966292,0,0.0231205673758865,0.0209745762711864,0.0015450643776824,0.00252631578947368,0.0223157894736842,0.0444747081712062,0.0132234432234432,0.00682539682539683,0.092974358974359
14.2,0.000147058823529412,0.00147058823529412,0.00144927536231884,0.00078125,0.00142857142857143,0.000697674418604651,0,0.000691823899371069,0.000785907859078591,0.00146341463414634,0.03,0.003359375,0,0.00971910112359551,0,0.0237588652482269,0.0226694915254237,0.00158798283261803,0.00263157894736842,0.0232631578947368,0.0480544747081712,0.0141391941391941,0.0082010582010582,0.0956923076923077
14.3,0.000147058823529412,0.00147058823529412,0.00159420289855072,0.00078125,0.00174603174603175,0.000697674418604651,0,0.000817610062893082,0.000867208672086721,0.00165311653116531,0.0316071428571429,0.00359375,0,0.0102808988764045,0,0.024822695035461,0.0244915254237288,0.00171673819742489,0.00289473684210526,0.0248421052631579,0.0514007782101167,0.0149450549450549,0.00962962962962963,0.099025641025641
